brands,product_name,categories,countries,food_groups_tags,food_groups,ingredients_text,category_name,country
Cha's,Organic Coconut Milk,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Crèmes végétales, Crèmes végétales pour cuisiner, Laits et crèmes de coco",Canada,"['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,,Plant-based foods and beverages,canada
Samyang,Buldak Spicy Chicken Carbonara,"Plant-based foods and beverages,Plant-based foods,Pastas,Noodles,HOT Chicken Flavor Ramen","Australia,Canada,Germany","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"NOODLE(77.5%): WHEAT FLOUR, MODIFIED TAPIOCA STARCH, REFINED PALM OIL, MODIFIED POTATO STARCH, SODIUM CARBONATE(E500), SODIUM PHOSPHATE DIBASIC(E339)(ii)), CITRIC ACID (E330)], THICKENER[GUAR GUM(E412)], REFINED SALT, EMULSIFIER [LECITHIN(E322(i))], ACIDITY REGULATOR[POTASSIUM CARBONATE ANHYDROUS(E501(i)), GREEN TEA FLAVOR OIL SOUP(12.7%): WATER, ARTIFICIAL CHICKEN FLAVOR POWDER, SOY SAUCE, WHITE SUGAR, RED PEPPER POWDER, CHILI PEPPER POWDER, SOYBEAN OIL, ONION, RED PEPPER SEED OIL, GARLIC, MODIFIED POTATO STARCH, PAPRIKA EXTRACT, DECOLORIZED CHILLI EXTRACT, BLACK PEPPER POWDER, CURRY POWDER POWDER(9.8%): WHOLE MILK POWDER, WHITE SUGAR, MILK POWDER, SALT, MOZZARELLA CHEESE POWDER BUTTER POWDER, MODIFIED POTATO STARCH, CURLY PARSLEY, PEPPER POWDER, GARLIC POWDER, SOYBEANS CONTAINS: WHEAT, GLUTEN, SOY, MILK ALLERGENS: FOR ALLERGENS PLEASE SEE INGREDIENTS IN BOLD. MANUFACTURED IN A FACILITY THAT ALSO PROCESSES CELERIES, CEREALS CONTAINING GLUTEN, CRUSTACEANS, EGGS, FISH, MILK, MOLLUSCS, MUSTARD, NUITS PEANUTS, SESAME SEEDS AND SOY PRODUCTS.",Plant-based foods and beverages,canada
Kashi Organic,Whole Wheat Cinnamon Harvest,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals,Organic Whole Wheat Cereal Biscuits","Canada, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Organic whole grain wheat, Organic cane sugar, Organic cinnamon, Organic natural flavour",Plant-based foods and beverages,canada
Chef Boyardee,Spaghetti & Meatballs in Tomato Sauce,"Plant-based foods and beverages,Plant-based foods,Canned foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Canned meals",Canada,"['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Water, Cooked spaghetti (water, durum wheat semolina, wheat gluten, glyceryl monostearate), Tomato puree, Pork, Ground chicken, Sugars (sugar/glucose-fructose), Toasted wheat crumbs, Seasoned beef, Modified corn starch, Salt, Soy protein concentrate, Sea salt, Dehydrated onions, Potassium chloride, Hydrolyzed protein (corn, wheat gluten, soy), Citric acid, Caramel, Spice extract, Ammonium chloride, Processed cheese spread (milk), Flavour, Yeast extract, Soybean oil, Lactic acid.",Plant-based foods and beverages,canada
Crystal,Margarine,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines",Canada,"['en:salty-snacks', 'en:salty-and-fatty-products']",en:salty-and-fatty-products,"HUILE DE CANOLA, EAU, HUILES DE PALME ET DE PALMISTE MODIFIÉES, SEL, DEXTROSE, MONOGLÝCÉRIDES VÉGÉTAUX, LÉCITHINE DE SOYA, SORBATE DE POTASSIUM, AROME NATUREL, ROCOU, CURCUMA, PALMITATE DE VITAMINE A, VITAMINE D2",Plant-based foods and beverages,canada
Silk • Danone,"Oat, 0g-Sugar (Plain) beverage","Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks,Refrigerated Dairy Substitute","Canada, World","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Oat base (filtered water, gluten-free oat flour), Vegetable oil, Vitamins and minerals (calcium carbonate, zinc gluconate, vitamin A palmitate, riboflavin [B2], vitamin D2, vitamin B12), Dipotassium phosphate, Sea salt, Locust bean gum, Gellan gum, Ascorbic acid, Tocopherols, Natural flavour, Amylase",Plant-based foods and beverages,canada
Silk  (shelf-stable),"Oat, Unsweetened Beverage","Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks,Non-Dairy Milk beverages",Canada,"['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Oat base (filtered water, gluten-free oat flour), Vegetable oil, Vitamins and minerals (calcium carbonate, zinc gluconate, vitamin A palmitate, riboflavin [B2], vitamin D2, vitamin B12), Dipotassium phosphate, Locust bean gum, Sea salt, Gellan gum, Sodium ascorbate, Tocopherols, Natural flavour, Amylase.",Plant-based foods and beverages,canada
Magic Spoon,Cocoa Grain Free Cereal,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and their products,Breakfast cereals","Canada,United States","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Milk Protein Blend (Casein§, Whey Protein Concentrates), Sweetener Blend (Allulose, Monk Fruit Extract§), Oil Blend (High Oleic Sunflower Oil, Avocado Oil), Tapioca Starch, Cocoa Powder§, Inulin§ (from Chicory Root and/or Agave), Natural Flavor§, Salt§",Plant-based foods and beverages,canada
,Mixed fruit Jam,Mixed fruit jams,en:ca,"['en:sugary-snacks', 'en:sweets']",en:sweets,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR-E330, THICKENER-E440, 10DISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122 NUMBER OF SERVES PER PACK: APPROX. 25, PER SERVE: 20 g (1 Tbsp)",Plant-based foods and beverages,canada
Heinz,Soupe à la crème de tomate,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes",Canada,"['en:fruits-and-vegetables', 'en:soups']",en:soups,,Plant-based foods and beverages,canada
Silk,"Almond, Unsweetened Beverage,","Plant-based foods and beverages,Beverages,Plant-based foods,Dairy substitutes,Milk substitutes,Nuts and their products,Plant-based beverages,Plant-based milk alternatives,Nut-based drinks,Almond-based drinks,Fortified Almond Beverage","Canada,Mexico,en:canada, World","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Almond base (filtered water, almonds), Vegetable oil, Vitamin and mineral blend (calcium carbonate, zinc gluconate, vitamin A palmitate, riboflavin [B2], vitamin D2, vitamin B12), Dipotassium phosphate, Natural flavour, Sea salt, Gellan gum, Ascorbic acid. _Contains: Almond._",Plant-based foods and beverages,canada
Campbell's,V8 Original Blend - Cocktail aux Légumes,"Plant-based foods and beverages, Beverages, Plant-based beverages, Vegetable-based foods and beverages, Vegetable-based beverages, Unsweetened beverages, en:vegetable-juices","Canada, France","['en:beverages', 'en:unsweetened-beverages']",en:unsweetened-beverages,"Eau, pâte de tomate, jus composé de (carottes, céleri, betteraves, persil, laitue, cresson de fontaine, épinards), avec sel et assaisonnement.",Plant-based foods and beverages,canada
Ryvita,Sesame Rye Crispbread,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rye breads,pains","Canada, World","['en:cereals-and-potatoes', 'en:bread']",en:bread,"whole grain rye flour, rye bran, sesame seeds, salt",Plant-based foods and beverages,canada
Sprague Foods,Lentil & Vegetable Organic Soup,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Meals,Soups,Canned meals,Reheatable vegetable soups,Canned soups,Lentil soups,Organic-vegetable-based-canned-soup,Ready-to-eat-organic-vegetable-soup",Canada,"['en:fruits-and-vegetables', 'en:soups']",en:soups,"water, organic lentils, organic onions, organic carrots, organic celery, organic potatoes, organic tomatoes, organic spinach, organic green beans, organic olive oil, sea salt, organic balsamic vinegar, organic spices, organic onion*, organic granulated garlic*, organic concentrated lemon juice.",Plant-based foods and beverages,canada
"Earth's Own,Uniden",Oat Barista,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",Canada,"['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"BASE D'AVOINE (EAU FILTRE, AVOINE SANS GLUTEN) HUILE DE TOURNESOL, PHOSPHATE DIPOTASSIQUE, CARBONATE DE CALCIUM PHOSPHATE TRICALCIQUE, SEL MARIN, PALMITATE DE VITAMINE A, VITAMINE D2, RIBOFLAVINE, VITAMINE B12, GLUCONATE DE ZINC, AMYLASE PRODUCED IN A FACILITY THAT ALSO PROCESSES TREE NUTS AND SOY./PRODUIT PREPARE DANS UNE INSTALLATION QUI TRAITE EGALEMENT DES NOIX ET DU SOJA.",Plant-based foods and beverages,canada
Chef Boyardee,Mini Ravioli,"Plant-based foods and beverages,Plant-based foods,Canned foods,Cereals and potatoes,Meats and their products,Cereals and their products,Meals,Pasta dishes,Pastas,Meals with meat,Stuffed pastas,Beef dishes,Pasta stuffed with meat,Ravioli,Canned meals,Meat ravioli,Beef ravioli",Canada,"['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Water, Tomato puree (water, tomato paste), Enriched wheat flour, Beef, Toasted wheat crumbs, Sugars (sugar/glucose-fructose), Salt, Modified corn starch, Soybean oil, Textured vegetable protein (soy flour, soy protein concentrate, caramel), Carrots, Dehydrated onions, Processed cheese spread, Caramel, Citric acid, Spice extracts.",Plant-based foods and beverages,canada
Earth's Own,,"Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Plant-based milk alternatives, Nut-based drinks, Almond-based drinks","Canada, World","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Organic almond base (filtered water, organic whole almonds,), Sea salt, Organic locust bean gum, Gellan gum, Natural flavour, Vitamins and minerals (calcium carbonate, vitamin A palmitate, vitamin D2, riboflavin, vitamin B12, zinc gluconate)",Plant-based foods and beverages,canada
