brands,product_name,categories,countries,food_groups_tags,food_groups,ingredients_text,category_name,country
Lustucru,Riz long grain incollable,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Riz, Riz long grain","Canada,France,Suisse","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Riz long grain étuvé.,Plant-based foods and beverages,canada
"innofoods,Inno Foods",Almond Fruit Crunch,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Canada,World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Almonds, Sugars (cane sugar, maple syrup, coconut sugar), Coconut, Gluten free oats, Corn meal, Pumpkin seeds, Dried cherries (tart cherries, cane sugar, sunflower oil [less than 0.5%]), Sunflower seeds, Coconut oil, Coconut butter, Dried cranberries (cranberries, sugar, sunflower oil [less than 1%]), Amaranth flour, Vanilla extract, Sea salt, Vitamin E (mixed tocopherols) added to preserve freshness. Contains: Almonds. May Contain: Soy. Packed in a facility that uses tree nuts.",Plant-based foods and beverages,canada
"Fleurs des Champs,Aldi",Ratatouille,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Plats préparés, Légumes préparés, Plats préparés en conserve, Ratatouilles","France, en:ca","['en:composite-foods', 'en:one-dish-meals']",en:one-dish-meals,"Légumes (courgettes, tomates, aubergines, oignons, poivrons), double concentré de tomates, huile de colza, sucre, amidon transformé, sel, jus concentré de citron, arôme,",Plant-based foods and beverages,canada
"Ducros,McCormick France",Persil,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Condiments, Plantes condimentaires, Plantes aromatiques, Epices, en:aromatic-herbs, Persil, en:groceries","France, en:ca",[],,Persil,Plant-based foods and beverages,canada
Kraft,Crunchy croquant,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, Groceries, en:nut-butters","Canada,France,en:canada","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,100% PEANUTS. CONTAINS: PEANUT. : % ARACHIDES CHOISIES CONTIENT : ARACHIDES.,Plant-based foods and beverages,canada
Kirkland Signature,Huile de coco vierge biologique,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Aceites y grasas,Grasas vegetales,Aceites vegetales,Aceites de frutas y semillas de frutas,Aceites de coco,en:Virgin coconut oils","Canadá,Francia,Estados Unidos","['en:fats-and-sauces', 'en:fats']",en:fats,Organic virgin coconut oil.,Plant-based foods and beverages,canada
Quaker,Quick Oats (Canada),"Quick oats, en:rolled-oats","Canada, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,100% rolled oats,Plant-based foods and beverages,canada
Kraft,Beurre arachide crémeux,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, en:nut-butters","Canada,France","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,"select roasted peanuts, sugars (com maltodextrin, sugar), soybean oil, salt, hydrogenated vegetable oil (cottonseed and rapeseed oil), mono - and diglycerides. facts tritive better-for peanut bute •1 cup kraft its peanut buter •1/2 cup sugar •1 egg (15g) % daily value* % valeur quotidienne* 7 % contains: peanut. s1g ingrédients : arachides choisies 4% heat oven to 325e mix ingredent o roll into 24/hit 2 inches apart ond flatten each inc with tines of fot bake 15 min d cool on bakin ste remove to wire ak completely ides 5 g rôties, sucres (maltodextrine de maïs, 3% sucre), huile de soya, 1% sel, huile végétale hydrogénée (huiles de 0 % erol o mg coton et de colza), sel, mono - et diglycérides. 3% contient : arachides. 2% 1 0% 3.",Plant-based foods and beverages,canada
Bonduelle,"Purée Délice - Carottes, Potiron, Crème - Si Douce","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Surgelés, Plats préparés, Légumes préparés, Purées, Purées de légumes","Canada,France","['en:composite-foods', 'en:one-dish-meals']",en:one-dish-meals,,Plant-based foods and beverages,canada
Mon fournil,Farine à pizza T00,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de blé type T45","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Farine de _blé_ T45 type 00,Plant-based foods and beverages,canada
"Crispy Minis,Quaker",Crispy minis,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pains, Galettes de céréales soufflées, Galettes de riz soufflé, Galettes de riz complet soufflé",Canada,"['en:cereals-and-potatoes', 'en:bread']",en:bread,Riz brun,Plant-based foods and beverages,canada
Kraft,Beurre d'arachide,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, Crunchy peanut butters, en:nut-butters","Canada,France,en:Belgique","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,"ARACHIDES GRILLÉES, HUILE DE SOJA, MALTODEXTRINE DE MAÏS, SUCRE, HUILES VEGETALES HYDROGÉNÉES (COTON, COLZA). SEL, MONO ET DIGLYCERIDES.",Plant-based foods and beverages,canada
Chosen Foods,"Avocado Oil - 100% Pure, Refined","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Huiles,Huiles de fruits et graines de fruits,Huiles d'avocat","Canada,Monde,États-Unis,France","['en:fats-and-sauces', 'en:fats']",en:fats,Avocado oil,Plant-based foods and beverages,canada
"Fleurs des Champs,Aldi",Maïs Doux en Grains Sous Vide,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Céréales et pommes de terre, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes en conserve, Céréales en grains, Maïs, Céréales en conserve, Maïs doux, Maïs en conserve, Maïs doux en conserve","France, en:ca","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Maïs doux en grains, eau, sel.",Plant-based foods and beverages,canada
"Bret's,ブレッツ",Chips Bret's Saveur Cheddar Oignon de Roscoff,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips fromage et oignon, Chips cheddar et oignon, Chips de pommes de terre à l'huile de tournesol","France,Japon,Canada","['en:salty-snacks', 'en:appetizers']",en:appetizers,"Pommes de terre (France) (61,9 %), huile de tournesol (31 %), oignon de Roscoff en poudre (1,5 %) (élaboré avec de l'oignon de Roscoff AOP), petit _lait_ en poudre, sel,  _fromage_ fondu en poudre (dont _cheddar_ 0,3 %), arômes naturels (_blé_).",Plant-based foods and beverages,canada
La Molisana,Farfalle rigate n°66,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pastas, Cereal pastas, Durum wheat pasta, en:dry-pastas","Canada,Allemagne,Italie,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Pâtes alimentaires de blé dur complet,Plant-based foods and beverages,canada
POM,Pain blanc,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie",Canada,"['en:cereals-and-potatoes', 'en:bread']",en:bread,"FARINE DE BLE ENRICHIE, EAU, SUCRE/GLUCOSE-FRUCTOSE LEVURE HUILE VEGETALE (CANOLA QU SOYA),SEL, GLUTEN DE BLE*, PROPIONATE DE CALCIUM, MONOGLYCERIDES VEGETAUX, STEAROYL-2-LACTYLATE DE SODIUM, ESTERS TARTRIQUES DES MONO ET DIGLYCERIDES ACETYLÉS, ACIDE SORBIQUE, LECITHINE DE SOYA",Plant-based foods and beverages,canada
FLEUR DES CHAMPS,Petits Pois à l'étuvé extra fins,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumineuses et dérivés, Conserves, Légumineuses, Légumes et dérivés, Aliments à base de plantes en conserve, Surgelés, Légumes, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve","France, en:ca","['en:fruits-and-vegetables', 'en:vegetables']",en:vegetables,"petits pois, eau, sucre, sel, arôme naturel de plantes aromatiques",Plant-based foods and beverages,canada
Carrefour,Petits pois extra-fins à l'étuvée,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumineuses et dérivés, Conserves, Légumineuses, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Graines de légumineuses, Légumes, Légumes en conserve, Légumineuses sèches, Légumineuses en conserve, Petits pois, Petits pois en conserve, Pois","Canada,France","['en:fruits-and-vegetables', 'en:vegetables']",en:vegetables,"Petits pois, eau, sucre, sel, arôme naturel.",Plant-based foods and beverages,canada
Baccara,Compotes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes banane, Compotes sans sucres","Canada,France","['en:fruits-and-vegetables', 'en:fruits']",en:fruits,"purée de pommes 61,9%, purée de bananes 23%, purée d'abricot 15%, antioxydant : acide ascorbique.",Plant-based foods and beverages,canada
"Innofoods biologique, Inno Foods",Organic KETO Grain Free Granola,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Mueslis, Granola sans grain","en:ca, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"(Biologique*) Noix de coco*, Amandes*, Sirop de tapioca*, Graines de citrouille*, Graines de tournesol*, Pacanes*, Érythritol*, Graines de chanvre*, Huile de noix de coco*, Beurre de coco*, Inuline* (agave bleu*), Arôme naturel, Sel de l'Himalaya, Cannelle*, Vanille extrait*, Extrait de stévia*. Contient: Amandes, Pacanes. Produit dans une usine qui utilise des noix.",Plant-based foods and beverages,canada
Kellogg's,Rice Krispies,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Puffed grains, Puffed cereals, Puffed rice",Canada,"['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"(Rice, Sugars (sugar, corn and barley malt extract), Salt, Sunflower lecithin, Vitamins and minerals: Iron phosphate, Niacinamide, Thiamine hydrochloride, Cholecalciferol (Vitamin D3), Pyridoxine hydrochloride, D-calcium pantothenate, Folic acid. Contains: Barley. Ingrédients : Riz, Sucres (sucre, extrait de maïs et d'orge maltée), Sel, Lécithine de tournesol, Vitamines et minéraux : Phosphate de fer, Niacinamide, Chlorhydrate de thiamine, Cholécalciférol (Vitamine D3), 0% 3% Chlorhydrate de pyridoxine, D-pantothénate de calcium, Acide folique. 6% 1% 0% 19% 5%",Plant-based foods and beverages,canada
Bret's,Chips Saveur camembert,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips de pommes de terre à l'huile de tournesol","France,Canada","['en:salty-snacks', 'en:appetizers']",en:appetizers,"Pommes de terre (France) (61,9%), huile de tournesol (31%), sel, fromages fondus en poudre (0,9%) (dont Camembert 0,7%), arômes naturels (lait), oignons, ail, poivre.",Plant-based foods and beverages,canada
"Maggi,Mousline","MOUSLINE Purée Nature, 8 sachets pour 4 personnes (8x130g)","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Préparations à base de pommes de terre, Purées, Purées de pommes de terre, Purées de pommes de terre en flocons","Canada,France, en:french-polynesia","['en:cereals-and-potatoes', 'en:potatoes']",en:potatoes,"Pomme de terre 99%, émulsifiant : mono - et diglycérides d'acides gras (origine végétale) ; curcuma, antioxydant : extraits de romarin. Peut contenir : lait.",Plant-based foods and beverages,canada
Mama,Instant Noodles Shrimp Flavour (Tom Yum),"Plant-based foods and beverages, Plant-based foods, Meals, Dried products, Pastas, Dried products to be rehydrated, Noodles, Soups, Dried meals, Instant noodles, Dehydrated soups, Instant noodle soups, Dehydrated Asian-style soup with noodles","Belgium,Canada,France,Germany","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Wheat flour 78%, palm oil, salt, sugar, chilli powder, flavour enhancer: E621, E635, spices citric acid, acidity regulators: E500, E501, E451, dried spring onion, colour (paprika oleoresin), thickener:E466, soy sauce (soybean, water, salt), flavouring 0.02%, shrimp(crustaceans powder 0.02 %. This product may contain traces of egg, milk, fish, sesame and celery.",Plant-based foods and beverages,canada
"Fleurs des Champs,Aldi","Haricots Verts, Extra Fins","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumineuses et dérivés, Conserves, Légumineuses, Légumes et dérivés, Aliments à base de plantes en conserve, Surgelés, Légumes, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve","Canada,France","['en:fruits-and-vegetables', 'en:vegetables']",en:vegetables,"Haricots verts, eau, sel.",Plant-based foods and beverages,canada
Mon fournil,Préparation pour brioche levure boulangère incorporée,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines avec levure, Farines pour brioche","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Farine de _blé_, sucre, levure boulangère déshydratée, sel iodé, farine de _lupin_, arôme, agent de traitement de la farine : acide ascorbique.",Plant-based foods and beverages,canada
Kraft,Kraft Only Peanuts Smooth,"Plant-based foods and beverages, Dairies, Plant-based foods, Legumes and their products, Fats, Spreads, Plant-based spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Oilseed purees, Butters, Legume butters, Peanut butters, Vegan","Canada,France,en:canada","['en:fats-and-sauces', 'en:fats']",en:fats,100% select roasted peanuts,Plant-based foods and beverages,canada
Granforno,Grissini,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Gressins","Canada, en:be","['en:cereals-and-potatoes', 'en:bread']",en:bread,"farine de blé, sésame 23 %, huile extra vierge d'olive 3%, levure, sel, malt: extrait de malt et farine de céréales malté,",Plant-based foods and beverages,canada
Gallo,Extra Virgin Olive Oil,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Olive tree products, Vegetable oils, Olive oils, Extra-virgin olive oils, Virgin olive oils","France,Canada","['en:fats-and-sauces', 'en:fats']",en:fats,extra virgin olive oil.,Plant-based foods and beverages,canada
Fleurs des Champs,2lboîtes Flageolets Verts Extra Fins Fleurs Des Champs 530 g,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Aliments à base de plantes en conserve, Surgelés, Légumineuses en conserve, Haricots en conserve, Flageolets en conserve","France, en:ca","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,"Flageolets verts, eau, sel,",Plant-based foods and beverages,canada
Terra Delyssa,Huile d'olive vierge extra,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","Canada,Tunisia","['en:fats-and-sauces', 'en:fats']",en:fats,huile d'olive vierge extra,Plant-based foods and beverages,canada
Prime,Ice Pop Hydration Drink,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Artificially sweetened beverages, Diet beverages, Still fruit soft drinks, Dietary drink for sport, Sweetened beverages",Canada,"['en:beverages', 'en:sweetened-beverages']",en:sweetened-beverages,"Filtered water, Coconut water from concentrate, Citric acid, Dipotassium phosphate, Natural flavor, Sucralose, L-isoleucine, L-leucine, L-valine, D-alpha tocopheryl acetate (vitamin E), Acesulfame potassium, Retinyl palmitate (vitamin A), Pyridoxine hydrochloride (vitamin B6), Cyanocobalamin (vitamin B12)",Plant-based foods and beverages,canada
"Fleurs des Champs,Aldi",Petits pois et carottes à l'étuvée extra fins,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumineuses et dérivés, Conserves, Légumineuses, Légumes et dérivés, Aliments à base de plantes en conserve, Légumes en conserve, Légumineuses en conserve, Petits pois et carottes en conserve","Kanada, Frankreich, en:de","['en:fruits-and-vegetables', 'en:vegetables']",en:vegetables,"Petits pois (50 % min), carottes (30 % min), eau, sucre, sel, arôme naturel.",Plant-based foods and beverages,canada
kellogs,All bran buds jumbo pack,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner",Canada,"['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,,Plant-based foods and beverages,canada
Terra Delyssa,Dattes denoyautees,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Produits déshydratés,Fruits,Aliments à base de plantes séchées,Fruits secs,Dattes,Dattes Deglet Nour,Dattes dénoyautées",Canada,"['en:fruits-and-vegetables', 'en:dried-fruits']",en:dried-fruits,Dattes,Plant-based foods and beverages,canada
Консервинвест,Лютеница финосмляна,"Растителни храни и напитки, Растителни храни, Крем за мазане, en:Plant-based spreads","България,Канада",[],,"Доматено пюре, вода, печени белени чушки, захар, рафинирано слънчогледово масло, нишесте, йодирана сол, подправки.",Plant-based foods and beverages,canada
Natura,Unsweetened Organic Fortified Soy Beverage,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Dairies,Plant-based foods,Legumes and their products,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Legume-based drinks,Soy-based drinks,Unsweetened plain soy-based drinks","Canada,Singapore","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Filtered water, Organic soybeans, Natural flavour, Vitamins and minerals (calcium carbonate, zinc gluconate, niacinamide, vitamine A palmitate, cyanocobalamin, calcium pantothenate, riboflavin, vitamin D2, thiamine mononitrate, pyridoxine hydrochloride).",Plant-based foods and beverages,canada
Fontaine Santé,Hummus Traditional,"Plant-based foods and beverages, Plant-based foods, Condiments, Fats, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus, Groceries","Canada, World","['en:fats-and-sauces', 'en:dressings-and-sauces']",en:dressings-and-sauces,"Cooked chickpeas, Tahini (sesame butter), Water, Canola oil, Concentrated lemon juice, Sea salt, Vinegar, Garlic.",Plant-based foods and beverages,canada
Quaker,Regular Instant Oatmeal,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, en:breakfast-cereals",Canada,"['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Whole grain rolled oats, Whole grain oat flour, Calcium carbonate, Salt",Plant-based foods and beverages,canada
